section,title,key,style,ticker,contribution_ann_%,contribution_total_%,share_of_pnl_%,gross_contribution_ann_%,cost_ann_%,avg_gross_weight,avg_net_weight,days_held_%,long_days_%,short_days_%,ann_turnover_x
3.1,Price-momentum,3.1.price_momentum,momentum,INTC,0.08435272540709354,0.8713100961693035,-5.6591861989843535,0.08840365371326514,0.004050928306171559,0.0028716646612312008,-0.0004622084916158839,67.23011909335382,29.8501728774491,37.379946215904724,0.0810185661234312
3.1,Price-momentum,3.1.price_momentum,momentum,ALB,0.08286285605507042,0.8559206917116997,-5.559231537951552,0.08620719350637829,0.003344337451307877,0.002816697556489741,0.0002804911070030457,72.22435651171725,32.92354975028813,39.30080676142912,0.06688674902615754
3.1,Price-momentum,3.1.price_momentum,momentum,AMD,0.07532303410967116,0.778039118204262,-5.053388293524328,0.07934578885729512,0.00402275474762399,0.0025824898380058347,0.001255669262514442,70.22666154437188,53.20783711102573,17.01882443334614,0.08045509495247981
3.1,Price-momentum,3.1.price_momentum,momentum,MCO,0.07494598170762783,0.7741444062895049,-5.028092018393447,0.07945555921057282,0.004509577502944989,0.002582152923335401,0.0011360598189887432,53.20783711102573,38.378793699577415,14.829043411448328,0.09019155005889978
3.1,Price-momentum,3.1.price_momentum,momentum,IDXX,0.07490711210387527,0.7737429079618545,-5.025484274256494,0.07929819833320863,0.0043910862293333516,0.0029775721596579296,0.00076395453526085,64.04149058778333,39.684978870533996,24.356511717249326,0.08782172458666705
3.1,Price-momentum,3.1.price_momentum,momentum,GLW,0.07445362174992931,0.7690586405359763,-4.995059811501581,0.07801619374710528,0.003562571997176,0.0025997063110120826,0.00030118898701513296,58.432577794852094,28.582404917402997,29.8501728774491,0.07125143994352001
3.1,Price-momentum,3.1.price_momentum,momentum,FIX,0.07113714555238079,0.734801547114473,-4.77255892328667,0.07422405039701808,0.0030869048446372964,0.002697784511956755,0.0017597690610908429,66.96119861698041,53.284671532846716,13.67652708413369,0.061738096892745925
3.1,Price-momentum,3.1.price_momentum,momentum,ODFL,0.06773928336280809,0.6997037880690057,-4.544597885673729,0.07242162664679774,0.004682343283989667,0.0025225116598858637,0.001284279945418726,55.436035343834035,38.76296580868229,16.673069535151747,0.09364686567979336
3.1,Price-momentum,3.1.price_momentum,momentum,TTWO,0.06766578929045489,0.6989446409645004,-4.539667201597297,0.07207992334090545,0.004414134050450535,0.0027773432516942395,0.0013138036796608587,63.88782174414137,45.56281213983865,18.32500960430273,0.08828268100901071
3.1,Price-momentum,3.1.price_momentum,momentum,FLEX,0.06575312873191433,0.6791880717824325,-4.411347669726851,0.07018098031673814,0.004427851584823836,0.002076309292409713,0.0008873972635267403,50.86438724548598,32.76988090664618,18.0945063388398,0.08855703169647672
