ticker,strategies,mean_contribution_ann_pct,best_contribution_ann_pct,worst_contribution_ann_pct,profitable_strategies_pct,avg_gross_weight,avg_net_weight
GL,28,0.021723717653926104,0.27972030841878326,-0.17986796306111447,57.14285714285714,0.0021537401304586134,0.0008528476959670893
TKO,28,0.021695402402724235,0.18382685522449319,-0.10386956542981342,57.14285714285714,0.0026431338198624923,0.0010466668918030916
GOOGL,28,0.021398647224485846,0.10079789178742454,-0.02140576343292856,71.42857142857143,0.0023612289300457942,0.0010899166787478652
WYNN,28,0.020876347482740695,0.09653407052877686,-0.07616774610825122,60.71428571428571,0.0023143989018089375,0.0005130483965281458
ALGN,28,0.020427160070956286,0.13908090105941873,-0.09430260906117706,60.71428571428571,0.0025355719014821506,0.0007491270052931537
NFLX,28,0.01947926553582733,0.19713015510784032,-0.14696807628590672,67.85714285714286,0.002772436494461091,0.0011593377474334512
PGR,28,0.01875664924663182,0.10320053569282568,-0.05230783093843263,67.85714285714286,0.0026752171561128762,0.0013401213387479445
GE,28,0.018538739404381308,0.1362715034976707,-0.09211446304724953,57.14285714285714,0.0025307096154073808,0.0008324636024346381
AXON,28,0.018240784155857427,0.2137842339139071,-0.1542422941739645,46.42857142857143,0.0027823320712351747,0.0010274008105055818
TTWO,28,0.018142402520145064,0.11140992480599383,-0.11661589670878078,67.85714285714286,0.002420240907899086,0.0009451898684051926
CDNS,28,0.01789012591358546,0.1435003564284304,-0.05314992998732259,64.28571428571429,0.0023991481245349694,0.0011329394155400053
WMT,28,0.017529190811132692,0.10706733596656945,-0.044477875023030064,71.42857142857143,0.0025521890848816376,0.0013813217367157663
XEL,28,0.01748268327601672,0.6818709911634312,-0.06435999705403724,46.42857142857143,0.004488272668924957,0.0009053572995808938
ISRG,28,0.017410151289205106,0.12450823901391783,-0.03763574444779559,67.85714285714286,0.0024446402346243626,0.0010344039181662229
EME,28,0.017154244484079602,0.15391918311924485,-0.24449343976361443,67.85714285714286,0.002589911844850722,0.0011945236095453368
MSCI,28,0.016643682336270404,0.1054613800316917,-0.09901605318956043,67.85714285714286,0.0022571627462586456,0.0009672637046167122
TMUS,28,0.016625655700957708,0.08977856683863572,-0.1344926685647769,75.0,0.002316997785641934,0.0009986851981821383
MSFT,28,0.01646949762990348,0.12176176128304683,-0.08261056713242608,57.14285714285714,0.0024391012592419456,0.0012568897882775396
MPC,28,0.016264581674591685,0.11587612246213938,-0.11525069546515641,60.71428571428571,0.0025853339089596515,0.0009996158808107593
URI,28,0.016172195373591887,0.18927123399954973,-0.11740508990527362,50.0,0.0024091836213329517,0.0009139299478444481
GRMN,28,0.01596645201564705,0.11417825994974237,-0.07220892940895518,60.71428571428571,0.002338479985197542,0.001070645678723164
EBAY,28,0.015527031169980865,0.06718088366663186,-0.07885524857363477,85.71428571428571,0.0022828122666328624,0.000819660908366334
BNY,28,0.01525873756096133,0.08894798753825346,-0.04354888388214271,60.71428571428571,0.002235523878865132,0.000893845583851844
APH,28,0.015030761998654968,0.10345331735361021,-0.08582108115119595,50.0,0.002309033891234015,0.0011444499621872865
IDXX,28,0.0145546653517606,0.0815340248547437,-0.07330958145646546,60.71428571428571,0.002432511209130136,0.0009595703134878742
MCK,28,0.01435662381856888,0.10201677205403031,-0.05416940910614398,64.28571428571429,0.0024499081934279974,0.0009925410191677848
BX,28,0.013791443651946674,0.20273842338919937,-0.06141833703723668,50.0,0.0022772015616348037,0.0008118901892805962
TRGP,28,0.013691646730021382,0.13293789138292794,-0.12081431727833866,57.14285714285714,0.0025480955335571826,0.0010386675376458953
STLD,28,0.013374874166026663,0.13026608779596172,-0.08464501475744901,57.14285714285714,0.0023519597772023873,0.000913314185272166
ADBE,28,0.012897040916346015,0.10296628956480548,-0.06010496824602003,60.71428571428571,0.0024544837659154226,0.0008279147626961668
ORLY,28,0.012842573144363992,0.069166007219507,-0.08619284982838389,78.57142857142857,0.0025078873906579807,0.0012427005399098436
COST,28,0.012505264670051133,0.18375375738231126,-0.060262225050205405,53.57142857142857,0.002714639526339195,0.0014249168395239402
CMI,28,0.01240256230755272,0.05429099550905236,-0.051739236734098075,67.85714285714286,0.002144354895956341,0.0008876610866586918
BRO,28,0.012297955773263767,0.1421792108219,-0.08499002500718818,53.57142857142857,0.002598296138762832,0.0013626067845107438
BSX,28,0.012165507833329646,0.06411605448977536,-0.07647805060717643,64.28571428571429,0.0023168026249420844,0.0010344735902297491
ODFL,28,0.01178737807147086,0.14952223539933795,-0.09175918487936527,64.28571428571429,0.002393316568216247,0.0009733964950142255
JCI,28,0.011655882280473052,0.0494603900838997,-0.042414913460827146,71.42857142857143,0.0021690306767089503,0.0007669555231112765
CRL,28,0.011583182292295515,0.0948474620497381,-0.050533055374903414,53.57142857142857,0.002151382755454691,0.000550356342660873
CPRT,28,0.011080013740266126,0.1590714374413189,-0.09102441594795765,60.71428571428571,0.002500560114589133,0.001099367336974466
INCY,28,0.01105420851211067,0.06583546653331473,-0.035862665191537094,64.28571428571429,0.002313316532790717,0.0005679680534140634
SPG,28,0.01087097892517062,0.10636456974405636,-0.0700029443577653,64.28571428571429,0.0020843572876533723,0.0006848690737335602
LHX,28,0.010656919891463687,0.12999962183372699,-0.024684742057341162,60.71428571428571,0.0022963485533580665,0.0010605958465193922
RL,28,0.010606164942189921,0.07479970773772622,-0.05399639385837753,60.71428571428571,0.0023601429151374346,0.0008167243342301213
WSM,28,0.010556457526238622,0.139027616203618,-0.06883222889282133,53.57142857142857,0.002339400209789361,0.0007734634836907847
PODD,28,0.010222154681806489,0.10186276736782703,-0.14513564704372878,50.0,0.002507839906596729,0.0009193485647071805
GWW,28,0.010092479847579968,0.07816791946565439,-0.03445761774746029,60.71428571428571,0.0023262620213447436,0.0009587923534577656
