section,key,title,style,folds,days,cagr,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,hit_rate,ann_turnover,gross_sharpe,cost_drag_ann,avg_gross_exposure,avg_net_exposure,total_return,gross_ann_return,bps_per_unit_traded
3.4,3.4.low_volatility,Low-volatility anomaly,factor,125.0,2624.0,0.10460306403035569,0.12191896376277395,0.21169359901136425,0.5759218244299821,0.7451100289399867,-0.3923610629204637,0.26659899239685764,0.5365853658536586,8.739329268292684,0.5964308837027107,0.004369664634146342,1.0,0.9119664634146342,1.8176924209650624,0.1262886283969203,139.50608796159028
3.12,3.12.two_moving_averages,Two moving averages,technical,125.0,2624.0,0.04767710594203689,0.06922758778908905,0.2123380061767643,0.3260254206750882,0.4157375604326112,-0.37307485549523767,0.12779501282322547,0.5228658536585366,13.573170731707316,0.3580442376689512,0.006786585365853651,0.9999999999999998,0.3619156504065041,0.6241359341227795,0.0760141731549427,51.00325425611233
3.13,3.13.three_moving_averages,Three moving averages,technical,125.0,2624.0,0.044579343751615985,0.07713437357502481,0.25785154778078134,0.2991425657083992,0.36714450578694424,-0.49587320660396017,0.08990069065623107,0.5266768292682927,69.43124999999999,0.43371639032884113,0.03471562499999996,0.9847560975609756,0.4244664634146341,0.5748218614109186,0.11184999857502477,11.109460592316115
3.1,3.1.price_momentum,Price-momentum,momentum,125.0,2624.0,0.03636477812891736,0.06352925907622536,0.23571971559734886,0.2695118603687128,0.3656122606952774,-0.584700803774191,0.06219382271101048,0.5011432926829268,44.542825507970896,0.36409791829579746,0.022271412753985476,1.0,-0.007722648905342779,0.45053592807424603,0.08580067183021084,14.262512167050756
3.17,3.17.single_stock_knn,Single-stock KNN,machine-learning,125.0,2624.0,0.03340959188206982,0.05213295888948076,0.19636423251941995,0.2654911142451818,0.37425870791586036,-0.5647517638497638,0.059158012459005795,0.5080030487804879,183.00731707317073,0.7313786279924671,0.09150365853658536,0.9996189024390244,0.25218495934959345,0.40804039960681227,0.14363661742606612,2.8486816660252305
4.3,4.3.r_squared,R-squared selectivity,factor,125.0,2624.0,0.024784804671838856,0.03929912643612344,0.17226757742144552,0.22812839783530334,0.34260513947994287,-0.3437644789189367,0.07209821314226993,0.5015243902439024,27.898628048780488,0.3091362629945307,0.013949314024390258,1.0,0.0,0.2903717912746808,0.0532484404605137,14.086401083024331
4.1.1,4.1.1.momentum_rotation_ma_filter,Momentum rotation with MA filter,momentum,125.0,2624.0,0.011988507336198495,0.055860694282994755,0.29593733149066825,0.18875852533243584,0.2551597820593773,-0.6344909131360685,0.018894687201970257,0.5080030487804879,67.38567073170734,0.30269219197798364,0.0336928353658537,0.9969512195121951,0.3701727642276422,0.1321181641317588,0.08955352964884845,8.28969923077583
3.7,3.7.residual_momentum,Residual momentum (market-residual proxy),momentum,125.0,2624.0,-0.01920950431459645,-0.004985532248192557,0.16987571414997854,-0.029348116492925937,-0.04369374646131246,-0.5430542457497509,-0.03537308558940635,0.49047256097560976,27.658536585365855,0.05206421388789577,0.013829268292682929,1.0,0.0,-0.18287966605762052,0.008843736044490371,-1.802529296083729
3.8,3.8.pairs_trading,Pairs trading,mean-reversion,125.0,2624.0,-0.02935820184937099,-0.019207802821051164,0.1454096207744845,-0.1320944427111911,-0.1740840004970351,-0.3959818472284692,-0.07414027197169021,0.4958079268292683,62.615853658536665,0.08322314493715297,0.031307926829268334,1.0,-2.991340237842933e-17,-0.2667549214375199,0.012100124008217169,-3.0675622384383945
4.4,4.4.mean_reversion_ibs,Mean-reversion (internal bar strength),mean-reversion,125.0,2624.0,-0.047722949286179706,-0.030072383611852698,0.19426996106675504,-0.15479687876974058,-0.21897804298262555,-0.5974983055435055,-0.07987127133819942,0.4836128048780488,260.7670244452599,0.516634851000704,0.13038351222262998,1.0,0.005202753778466434,-0.3990077973757383,0.10031112861077729,-1.1532280078674397
10.3,10.3.contrarian,Contrarian trading (market-index demeaned),mean-reversion,125.0,2624.0,-0.05162072500726578,-0.036476879922048004,0.1816491068516095,-0.2008095748681343,-0.2696684798567366,-0.6113632152401514,-0.08443544479035836,0.4969512195121951,110.93739175981803,0.1045690906004649,0.05546869587990902,1.0,7.461886553096173e-19,-0.4241344773190161,0.01899181595786102,-3.2880599898203196
3.20,3.20.alpha_combo,Alpha combos,combo,125.0,2624.0,-0.0826085211658889,-0.05841558457749879,0.23562360502063157,-0.24791906809330005,-0.32543124089714054,-0.7706749340066978,-0.10718983779115744,0.5003810975609756,149.33160796495488,0.06899621718164226,0.07466580398247748,1.0,0.27096796164513864,-0.5925320974865917,0.016250219404978682,-3.9118030920291007
3.9.1,3.9.1.mean_reversion_multi_cluster,Mean-reversion (multiple clusters),mean-reversion,125.0,2624.0,-0.06851773408028017,-0.05307070220202529,0.18906395741904264,-0.28070237673275306,-0.38512365267061593,-0.6157917505171736,-0.11126770376955432,0.4874237804878049,180.4433439329434,0.19649501738982939,0.09022167196647171,1.0,-8.4377938689115095e-19,-0.5224439929391163,0.037150969764446415,-2.9411282813372983
3.6,3.6.multifactor,Multifactor portfolio (rank blend),factor,125.0,2624.0,-0.07516554330725711,-0.06272446050345658,0.17560485881680393,-0.35719091673250664,-0.5285183509528609,-0.5967304794152125,-0.1259622993967365,0.48666158536585363,93.53963414634147,-0.09087220179805798,0.046769817073170766,1.0,0.0,-0.5567643469323988,-0.015954643430285808,-6.705655958128405
3.18.1,3.18.1.stat_arb_dollar_neutral,Statistical arbitrage (dollar-neutral),optimization,125.0,2624.0,-0.06801993449089272,-0.058674496770966846,0.1533035717255298,-0.3827340492497849,-0.5317779310715027,-0.6571182268205842,-0.10351247570776102,0.4794207317073171,129.7392033351141,0.0404480157604828,0.06486960166755704,1.0,4.9141972204157345e-18,-0.5197798340357662,0.006195104896590197,-4.522495534322934
3.9,3.9.mean_reversion_single_cluster,Mean-reversion (single cluster),mean-reversion,125.0,2624.0,-0.08934338643711659,-0.07661223574142731,0.1840918137327785,-0.41616318611883013,-0.5642122264221817,-0.6986505324614888,-0.12787993751660298,0.4885670731707317,164.23314739630212,0.02991073049647158,0.08211657369815108,1.0,6.589193252732264e-19,-0.622625816342512,0.005504337956723773,-4.6648461017774
3.10,3.10.mean_reversion_weighted_regression,Mean-reversion (weighted regression),mean-reversion,125.0,2624.0,-0.08468494889716005,-0.07494212546401044,0.16446588720869004,-0.4556697241958554,-0.6424781347292052,-0.6780467276419088,-0.12489544664816082,0.4881859756097561,174.70820727559675,0.07551928477694747,0.08735410363779839,1.0,-1.134870908665e-16,-0.6020337093142611,0.012411978173787945,-4.289559525145351
10.3.1,10.3.1.contrarian_market_activity,Contrarian trading with volume filter,mean-reversion,125.0,2624.0,-0.16448642058652407,-0.1418548588508344,0.27466099722606796,-0.516472525343948,-0.7072899454743102,-0.8830878468331568,-0.18626280632939202,0.4790396341463415,179.5613069725499,-0.18965507428052905,0.08978065348627495,1.0,-0.060320327171178335,-0.8460692213000636,-0.05207420536455946,-7.900079434848411
3.18,3.18.stat_arb_optimization,Statistical arbitrage (mean-variance optimisation),optimization,125.0,2624.0,-0.0906858298334341,-0.08514217081356278,0.1408359299358509,-0.6045486464451509,-0.8750999408988424,-0.7175289794514972,-0.12638629578802146,0.4836128048780488,122.56677283492304,-0.16956436166107364,0.06128338641746155,1.0,-0.01411993585321187,-0.6283784371382197,-0.02385878439610123,-6.9465948106698585
