key,title,ann_return,sharpe,t_stat_vs_zero,p_vs_zero,excess_ann_return,t_stat_vs_benchmark,p_vs_benchmark,p_worse_than_benchmark
10.3.contrarian,10.3 Contrarian trading (market-index demeaned),-0.020422621712149227,-0.24682475333622275,-0.8718296026285076,0.8083094326733142,-0.20035541668038925,-4.294607004394361,0.9999909317509004,9.068249099630776e-06
4.3.r_squared,4.3 R-squared selectivity,-0.022372275760913676,-0.28651667541140885,-0.9860478424000587,0.8378997092495506,-0.20230507072915377,-3.0615199197867833,0.9988877551244968,0.00111224487550321
3.7.residual_momentum,3.7 Residual momentum (market-residual proxy),-0.022530527332775892,-0.29475488108080455,-1.0208910292168372,0.8462998916032032,-0.20246332230101594,-3.15719715882418,0.9991944877420149,0.000805512257985086
10.3.1.contrarian_market_activity,10.3.1 Contrarian trading with volume filter,-0.03009888617155862,-0.2761309717004015,-0.8751297864649897,0.8092082916623392,-0.21003168113979864,-4.59003858030938,0.9999976798416397,2.320158360324953e-06
3.12.two_moving_averages,3.12 Two moving averages,-0.04013432577451287,-0.33664618944725755,-1.2940056946666934,0.9021113122378043,-0.22006712074275295,-3.2485520506818175,0.9994127107754054,0.0005872892245946115
3.6.multifactor,3.6 Multifactor portfolio (rank blend),-0.0410970464588648,-0.5334492321618548,-1.903018780745827,0.9714262604454205,-0.22102984142710486,-3.4823957205928777,0.9997474614810453,0.0002525385189546814
3.13.three_moving_averages,3.13 Three moving averages,-0.045643130977411,-0.32661599378399103,-1.1216372071254788,0.8689403027773814,-0.2255759259456511,-3.0192200769044395,0.9987206610486719,0.0012793389513281461
3.20.alpha_combo,3.20 Alpha combos,-0.049823714369770296,-0.5189998451880772,-1.7739731961278147,0.9619082141689763,-0.2297565093380103,-3.879432835300048,0.9999463618803454,5.363811965464205e-05
4.1.1.momentum_rotation_ma_filter,4.1.1 Momentum rotation with MA filter,-0.06712262880397782,-0.5373718218356988,-2.1077879978835115,0.9824280093679114,-0.2470554237722179,-3.6340748171145187,0.9998578314770838,0.0001421685229161529
4.4.mean_reversion_ibs,4.4 Mean-reversion (internal bar strength),-0.06862676441065531,-1.2038431172814428,-4.050312052240563,0.9999736833653519,-0.24855955937889532,-5.069258669973467,0.9999997864075817,2.13592418307762e-07
3.17.single_stock_knn,3.17 Single-stock KNN,-0.08052891354564444,-1.11953380628793,-3.973495030099925,0.9999636324711023,-0.2604617085138845,-6.01823870971027,0.999999998995306,1.0046939946661837e-09
3.18.stat_arb_optimization,3.18 Statistical arbitrage (mean-variance optimisation),-0.21092981740049951,-9.526845028630394,-30.118342589749233,1.0,-0.3908626123687396,-7.400820044271295,0.9999999999999094,9.059419880941277e-14
