date,6.5.volatility_targeting,4.1.2.dual_momentum,3.15.channel,10.4.trend_following,4.6.multi_asset_trend,3.14.support_resistance,3.11.single_moving_average,3.12.two_moving_averages,3.13.three_moving_averages,3.20.alpha_combo,3.17.single_stock_knn,__benchmark__
2016-03-28,0.012319290040675446,0.012319290040675446,0.0,0.012319290040675446,0.012319290040675444,-0.0005,0.012319290040675446,0.012319290040675446,0.0,0.012319290040675446,0.012319290040675446,0.012319290040675446
2016-03-29,0.006490175413198296,0.006490175413198296,0.0,0.006490175413198296,0.006490175413198296,0.005990175413198295,0.006490175413198296,0.006490175413198296,0.0,0.006490175413198296,0.006490175413198296,0.006490175413198296
2016-03-30,0.008866737628034915,0.008866737628034915,0.0,0.008866737628034915,0.008866737628034915,0.008866737628034915,0.008866737628034915,0.008866737628034915,0.0,0.008866737628034915,0.008866737628034915,0.008866737628034915
2016-03-31,0.0012782816938075037,0.0012782816938075037,0.0,0.0012782816938075035,0.0012782816938075037,0.0012782816938075037,0.0012782816938075037,0.0012782816938075037,0.0,0.0012782816938075037,0.0012782816938075037,0.0012782816938075037
2016-04-01,0.006383673740903317,0.006383673740903317,0.0,0.006383673740903317,0.006383673740903317,0.006383673740903317,0.006383673740903317,0.006383673740903317,0.005883673740903317,0.006383673740903317,0.006383673740903317,0.006383673740903317
2016-04-04,0.0026958986408209817,0.0026958986408209817,0.0,0.0026958986408209817,0.0026958986408209817,0.0026958986408209817,0.0026958986408209817,0.0026958986408209817,0.0026958986408209817,0.0026958986408209817,0.0026958986408209817,0.0026958986408209817
2016-04-05,-0.0047446699451827445,-0.0047446699451827445,0.0,-0.0047446699451827445,-0.0047446699451827445,-0.0047446699451827445,-0.0047446699451827445,-0.0047446699451827445,-0.0047446699451827445,-0.0047446699451827445,-0.0047446699451827445,-0.0047446699451827445
2016-04-06,0.010010980888901955,0.010010980888901955,0.0,0.010010980888901955,0.010010980888901955,0.010010980888901955,0.010010980888901955,0.010010980888901955,0.010010980888901955,0.010010980888901955,0.010010980888901955,0.010010980888901955
2016-04-07,-0.0023597791388414446,-0.0023597791388414446,0.0,-0.0023597791388414446,-0.0023597791388414446,-0.0023597791388414446,-0.0023597791388414446,-0.0023597791388414446,-0.0023597791388414446,-0.0023597791388414446,-0.0023597791388414446,-0.0023597791388414446
2016-04-08,0.006150609995967837,0.006150609995967837,0.0,0.006150609995967837,0.006150609995967837,0.006150609995967837,0.006150609995967837,0.006150609995967837,0.006150609995967837,0.006150609995967837,0.006150609995967837,0.006150609995967837
2016-04-11,-0.007680398061647886,-0.007680398061647886,0.0,-0.007680398061647886,-0.007680398061647886,-0.007680398061647886,-0.007680398061647886,-0.007680398061647886,-0.007680398061647886,-0.007680398061647886,-0.007680398061647886,-0.007680398061647886
2016-04-12,0.00805575878053566,0.00805575878053566,0.0,0.00805575878053566,0.00805575878053566,-0.0005,0.00805575878053566,0.00805575878053566,0.00805575878053566,0.00805575878053566,0.00805575878053566,0.00805575878053566
2016-04-13,-0.02742067315370411,-0.02742067315370411,0.0,-0.02742067315370411,-0.02742067315370411,-0.027920673153704112,-0.02742067315370411,-0.02742067315370411,-0.02742067315370411,-0.02742067315370411,-0.0005,-0.02742067315370411
2016-04-14,-0.007733379850640931,-0.007733379850640931,0.0,-0.007733379850640931,-0.007733379850640931,-0.0005,-0.007733379850640931,-0.007733379850640931,-0.0005,-0.007733379850640931,0.0,-0.007733379850640931
2016-04-15,0.0014611050404973458,0.0014611050404973458,0.0,0.0014611050404973458,0.0014611050404973458,0.0,0.0014611050404973458,0.0014611050404973458,0.0,0.0014611050404973458,0.0,0.0014611050404973458
2016-04-18,0.007944258364679824,0.007944258364679824,0.0,0.007944258364679824,0.007944258364679824,0.0,0.007944258364679824,0.007944258364679824,0.0,0.007944258364679824,0.007444258364679823,0.007944258364679824
2016-04-19,-0.0073993570478818604,-0.0073993570478818604,0.0,-0.0073993570478818604,-0.0073993570478818604,0.0,-0.0073993570478818604,-0.0073993570478818604,0.0,-0.0073993570478818604,0.00639935704788186,-0.0073993570478818604
