date,6.5.volatility_targeting,3.20.alpha_combo,4.6.multi_asset_trend,3.12.two_moving_averages,3.11.single_moving_average,4.1.2.dual_momentum,3.14.support_resistance,3.13.three_moving_averages,10.4.trend_following,3.15.channel,3.17.single_stock_knn,__benchmark__
2016-03-29,0.008750151352522696,-0.021033746529095065,0.021033746529095065,0.021033746529095065,0.021033746529095065,0.021033746529095065,-0.0005,0.021033746529095065,0.021033746529095065,-0.021033746529095065,0.021033746529095065,0.021033746529095065
2016-03-30,-0.001071211448311452,0.002574994325824087,-0.002574994325824087,-0.002574994325824087,-0.002574994325824087,-0.002574994325824087,-0.003074994325824087,-0.002574994325824087,-0.002574994325824087,0.002574994325824087,-0.002574994325824087,-0.002574994325824087
2016-03-31,0.0064442682042130895,-0.015490829645346205,0.015490829645346205,0.015490829645346205,0.015490829645346205,0.015490829645346205,0.015490829645346205,-0.0005,0.015490829645346205,-0.015490829645346205,0.015490829645346205,0.015490829645346205
2016-04-01,-0.008108795677140686,0.019492046029583987,-0.019492046029583987,-0.019492046029583987,-0.019492046029583987,-0.019492046029583987,-0.019492046029583987,-0.019992046029583987,-0.019492046029583987,0.019492046029583987,-0.019492046029583987,-0.019492046029583987
2016-04-04,-0.007550507495096421,0.018150024430389267,-0.018150024430389267,-0.018150024430389267,-0.018150024430389267,-0.018150024430389267,-0.0005,-0.018150024430389267,-0.018150024430389263,0.018150024430389267,-0.018150024430389267,-0.018150024430389267
2016-04-05,-0.010619958591651811,0.025528417528673852,-0.025528417528673852,-0.025528417528673852,-0.025528417528673852,-0.025528417528673852,0.0,-0.025528417528673852,-0.025528417528673852,0.025528417528673852,-0.025528417528673852,-0.025528417528673852
2016-04-06,0.00037585881312059843,-0.0009034951153874538,0.0009034951153874538,0.0009034951153874538,0.0009034951153874538,0.0009034951153874538,0.0,-0.0005,0.0009034951153874538,-9.650488461254627e-05,0.0009034951153874538,0.0009034951153874538
2016-04-07,-0.008260017198131023,0.019855554615219817,-0.019855554615219817,-0.019855554615219817,-0.019855554615219817,-0.019855554615219817,0.0,0.0,-0.019855554615219817,-0.019855554615219817,-0.019855554615219817,-0.019855554615219817
2016-04-08,0.0038305330994234006,-0.009207893559618485,0.009207893559618485,0.009207893559618485,0.009207893559618485,0.009207893559618485,0.0,0.0,0.009207893559618483,0.009207893559618485,0.009207893559618485,0.009207893559618485
2016-04-11,0.00227757119592976,-0.005474860183229069,0.005474860183229069,0.005474860183229069,0.005474860183229069,0.005474860183229069,0.0,0.0,0.005474860183229068,0.005474860183229069,0.005474860183229069,0.005474860183229069
2016-04-12,0.005284904715568308,-0.012703934108023729,0.012703934108023729,0.012703934108023729,0.012703934108023729,0.012703934108023729,-0.01320393410802373,0.0,0.012703934108023729,0.012703934108023729,0.012703934108023729,0.012703934108023729
2016-04-13,0.0026093700836636964,-0.006272443381743598,0.006272443381743598,0.006272443381743598,0.006272443381743598,0.006272443381743598,0.005272443381743598,0.0,0.006272443381743598,0.006272443381743598,0.006272443381743598,0.006272443381743598
2016-04-14,0.000370372194984651,-0.0008903062995002653,0.0008903062995002651,0.0008903062995002653,0.0008903062995002653,0.0008903062995002653,0.0008903062995002653,0.0,0.0008903062995002653,0.0008903062995002653,0.0008903062995002653,0.0008903062995002653
2016-04-15,0.0003700427435989145,-0.0008895143592626553,0.0008895143592626552,0.0008895143592626553,0.0008895143592626553,0.0008895143592626553,0.0008895143592626553,0.0,0.0008895143592626553,0.0008895143592626553,-0.0018895143592626553,0.0008895143592626553
2016-04-18,0.00221883449087361,0.004333668000793379,0.005333668000793378,0.005333668000793379,0.005333668000793379,0.005333668000793379,0.005333668000793379,0.0048336680007933785,0.005333668000793379,0.005333668000793379,0.004333668000793379,0.005333668000793379
