date,6.5.volatility_targeting,4.6.multi_asset_trend,4.1.2.dual_momentum,3.11.single_moving_average,3.20.alpha_combo,10.4.trend_following,3.14.support_resistance,3.12.two_moving_averages,3.15.channel,3.13.three_moving_averages,3.17.single_stock_knn,__benchmark__
2016-03-28,0.0060877468219419344,0.007336382258427587,0.007336382258427587,0.007336382258427587,-0.007336382258427587,0.007336382258427587,-0.0005,0.007336382258427587,-0.007336382258427587,0.007336382258427587,0.007336382258427587,0.007336382258427587
2016-03-29,0.00026267915278066684,0.0003165563109774894,0.0003165563109774894,0.0003165563109774894,-0.0003165563109774894,0.0003165563109774894,-0.00018344368902251064,0.0003165563109774894,-0.0003165563109774894,0.0003165563109774894,0.0003165563109774894,0.0003165563109774894
2016-03-30,0.007223754727818143,0.008705392581929372,0.008705392581929372,0.008705392581929372,-0.008705392581929372,0.008705392581929372,0.008705392581929372,0.008705392581929372,-0.008705392581929372,0.008705392581929372,0.008705392581929372,0.008705392581929372
2016-03-31,-0.007682071333718448,-0.009257712826941987,-0.009257712826941988,-0.009257712826941988,0.009257712826941988,-0.009257712826941987,-0.009257712826941988,-0.009257712826941988,0.009257712826941988,-0.009257712826941988,-0.009257712826941988,-0.009257712826941988
2016-04-01,0.014330121512049083,0.01552110188466882,0.01552110188466882,0.01552110188466882,-0.01552110188466882,0.01552110188466882,-0.0005,0.01552110188466882,-0.01552110188466882,0.01552110188466882,-0.01652110188466882,0.01552110188466882
2016-04-04,-0.007657327459965025,-0.008265876710516262,-0.008265876710516262,-0.008265876710516262,0.008265876710516262,-0.008265876710516262,-0.008765876710516263,-0.008265876710516262,0.008265876710516262,-0.008265876710516262,0.008265876710516262,-0.008265876710516262
2016-04-05,0.0018935954276947868,0.002044084757607312,0.002044084757607312,0.002044084757607312,-0.002044084757607312,0.002044084757607312,-0.0005,0.002044084757607312,-0.002044084757607312,0.002044084757607312,0.0010440847576073118,0.002044084757607312
2016-04-06,-0.0008720918172244824,-0.0009413993954309197,-0.0009413993954309197,-0.0009413993954309197,0.0009413993954309197,-0.0009413993954309197,0.0,-0.0009413993954309197,0.0009413993954309197,-0.0009413993954309197,-5.860060456908036e-05,-0.0009413993954309197
2016-04-07,-0.009604385428511266,-0.010367672826769203,-0.010367672826769203,-0.010367672826769203,0.010367672826769203,-0.010367672826769203,0.0,-0.010367672826769203,0.010367672826769203,-0.010367672826769203,0.010367672826769203,-0.010367672826769203
2016-04-08,0.013380950757821792,0.014444372375600256,0.014444372375600256,0.014444372375600256,-0.014444372375600256,0.014444372375600256,0.0,0.014444372375600256,-0.014444372375600256,0.014444372375600256,0.013444372375600255,0.014444372375600256
2016-04-11,0.001884537588992057,0.0020343070671047236,0.0020343070671047236,0.0020343070671047236,-0.0020343070671047236,0.002034307067104723,0.0015343070671047236,0.0020343070671047236,-0.0020343070671047236,0.0020343070671047236,-0.0030343070671047237,0.0020343070671047236
2016-04-12,0.021553521215990516,0.02326643988785193,0.02326643988785193,0.02326643988785193,0.02226643988785193,0.023266439887851927,0.02326643988785193,0.02326643988785193,-0.02326643988785193,0.02326643988785193,-0.02326643988785193,0.02326643988785193
2016-04-13,0.013006072280189775,0.014039701255848192,0.014039701255848192,0.014039701255848192,0.014039701255848192,0.01403970125584819,0.014039701255848192,0.014039701255848192,-0.014039701255848192,0.014039701255848192,-0.0005,0.014039701255848192
2016-04-14,0.007249398131186251,0.007825528095948275,0.007825528095948275,0.007825528095948275,0.007825528095948275,0.007825528095948275,0.007825528095948275,0.007825528095948275,-0.007825528095948275,0.007825528095948275,0.0,0.007825528095948275
2016-04-15,-0.0012451590369090583,-0.0013441153114956972,-0.0013441153114956972,-0.0013441153114956972,-0.0013441153114956972,-0.0013441153114956972,-0.0013441153114956972,-0.0013441153114956972,0.0013441153114956972,-0.0013441153114956972,0.0,-0.0013441153114956972
