fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size,fitted_pair
85,2022-04-11,2023-04-12,2023-04-13,2023-05-11,252,21,-1.2533951217802786,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
86,2022-05-11,2023-05-11,2023-05-12,2023-06-12,252,21,-1.2531668793288333,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
87,2022-06-10,2023-06-12,2023-06-13,2023-07-13,252,21,-1.5561654818767947,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
88,2022-07-13,2023-07-13,2023-07-14,2023-08-11,252,21,-1.360391056814529,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
89,2022-08-11,2023-08-11,2023-08-14,2023-09-12,252,21,-1.1866590379331319,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
90,2022-09-12,2023-09-12,2023-09-13,2023-10-11,252,21,-1.2745722433419004,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
91,2022-10-11,2023-10-11,2023-10-12,2023-11-09,252,21,-1.4545851633135445,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
92,2022-11-09,2023-11-09,2023-11-10,2023-12-11,252,21,-1.201280281530827,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
93,2022-12-09,2023-12-11,2023-12-12,2024-01-11,252,21,-1.1347051699462114,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
94,2023-01-11,2024-01-11,2024-01-12,2024-02-12,252,21,-0.9549426003152289,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
95,2023-02-10,2024-02-12,2024-02-13,2024-03-13,252,21,-1.0766248937454534,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
96,2023-03-14,2024-03-13,2024-03-14,2024-04-12,252,21,-1.2630590822353747,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
97,2023-04-13,2024-04-12,2024-04-15,2024-05-13,252,21,-1.1270777525314921,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
98,2023-05-12,2024-05-13,2024-05-14,2024-06-12,252,21,-1.4360056952062172,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
99,2023-06-13,2024-06-12,2024-06-13,2024-07-15,252,21,-1.107218376352706,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
100,2023-07-14,2024-07-15,2024-07-16,2024-08-13,252,21,-1.4337646717787078,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
101,2023-08-14,2024-08-13,2024-08-14,2024-09-12,252,21,-1.3943790538378313,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
102,2023-09-13,2024-09-12,2024-09-13,2024-10-11,252,21,-1.2675748661760071,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
103,2023-10-12,2024-10-11,2024-10-14,2024-11-11,252,21,-1.1065701977629823,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
104,2023-11-10,2024-11-11,2024-11-12,2024-12-11,252,21,-1.236838779492074,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
105,2023-12-12,2024-12-11,2024-12-12,2025-01-14,252,21,-1.384690741795716,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
106,2024-01-12,2025-01-14,2025-01-15,2025-02-13,252,21,-1.510761340562173,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
107,2024-02-13,2025-02-13,2025-02-14,2025-03-17,252,21,-1.4867662458469169,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
108,2024-03-14,2025-03-17,2025-03-18,2025-04-15,252,21,-1.7584761457297013,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
109,2024-04-15,2025-04-15,2025-04-16,2025-05-15,252,21,-1.946470678534589,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
110,2024-05-14,2025-05-15,2025-05-16,2025-06-16,252,21,-1.56072837002441,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
111,2024-06-13,2025-06-16,2025-06-17,2025-07-17,252,21,-1.3530403601452308,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
112,2024-07-16,2025-07-17,2025-07-18,2025-08-15,252,21,-1.28058944392676,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
113,2024-08-14,2025-08-15,2025-08-18,2025-09-16,252,21,-1.5847691188587965,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
114,2024-09-13,2025-09-16,2025-09-17,2025-10-15,252,21,-1.6953020165122437,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
115,2024-10-14,2025-10-15,2025-10-16,2025-11-14,252,21,-1.350391414728503,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
116,2024-11-12,2025-11-14,2025-11-17,2025-12-16,252,21,-1.1549913005650634,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
117,2024-12-12,2025-12-16,2025-12-17,2026-01-16,252,21,-1.2006105652138797,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
118,2025-01-15,2026-01-16,2026-01-20,2026-02-18,252,21,-1.0453098248801143,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
119,2025-02-14,2026-02-18,2026-02-19,2026-03-19,252,21,-0.6610688735345268,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
120,2025-03-18,2026-03-19,2026-03-20,2026-04-20,252,21,-1.2126744465706363,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
121,2025-04-16,2026-04-20,2026-04-21,2026-05-19,252,21,-1.058551526724534,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
122,2025-05-16,2026-05-19,2026-05-20,2026-06-18,252,21,-1.283093828637759,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
123,2025-06-17,2026-06-18,2026-06-22,2026-07-21,252,21,-0.8740218906494917,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
124,2025-07-18,2026-07-21,2026-07-22,2026-08-20,252,21,-1.0147504579536932,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
