fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size,combo_weights
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,1.473147292793625,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.0535, ""3.1.price_momentum_long_only"": 0.0362, ""3.4.low_volatility"": 0.0009, ""3.6.multifactor"": -0.0202, ""3.9.mean_reversion_single_cluster"": 0.1501, ""3.11.single_moving_average"": 0.1019, ""3.12.two_moving_averages"": 0.079, ""3.14.support_resistance"": -0.0336, ""3.15.channel"": 0.1928, ""4.4.mean_reversion_ibs"": 0.1068, ""4.6.multi_asset_trend"": 0.0339, ""10.4.trend_following"": 0.1912}"
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,-0.305368597969974,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.1414, ""3.1.price_momentum_long_only"": 0.0089, ""3.4.low_volatility"": -0.1495, ""3.6.multifactor"": -0.1822, ""3.9.mean_reversion_single_cluster"": 0.1825, ""3.11.single_moving_average"": 0.0243, ""3.12.two_moving_averages"": -0.0109, ""3.14.support_resistance"": 0.0555, ""3.15.channel"": 0.0939, ""4.4.mean_reversion_ibs"": 0.0067, ""4.6.multi_asset_trend"": -0.0031, ""10.4.trend_following"": 0.141}"
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,1.5285945925336115,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.1431, ""3.1.price_momentum_long_only"": 0.0463, ""3.4.low_volatility"": -0.2498, ""3.6.multifactor"": -0.0018, ""3.9.mean_reversion_single_cluster"": 0.0902, ""3.11.single_moving_average"": 0.0584, ""3.12.two_moving_averages"": -0.0618, ""3.14.support_resistance"": 0.0684, ""3.15.channel"": -0.0049, ""4.4.mean_reversion_ibs"": 0.0832, ""4.6.multi_asset_trend"": 0.0465, ""10.4.trend_following"": 0.1456}"
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,0.2491403067946092,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.1496, ""3.1.price_momentum_long_only"": 0.0201, ""3.4.low_volatility"": -0.1406, ""3.6.multifactor"": 0.1236, ""3.9.mean_reversion_single_cluster"": 0.0333, ""3.11.single_moving_average"": -0.0237, ""3.12.two_moving_averages"": -0.1446, ""3.14.support_resistance"": -0.065, ""3.15.channel"": -0.1213, ""4.4.mean_reversion_ibs"": 0.0794, ""4.6.multi_asset_trend"": 0.018, ""10.4.trend_following"": -0.0808}"
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,0.4298346232832844,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.129, ""3.1.price_momentum_long_only"": 0.0292, ""3.4.low_volatility"": -0.1348, ""3.6.multifactor"": 0.0368, ""3.9.mean_reversion_single_cluster"": 0.0107, ""3.11.single_moving_average"": -0.0241, ""3.12.two_moving_averages"": -0.1841, ""3.14.support_resistance"": -0.0725, ""3.15.channel"": -0.1558, ""4.4.mean_reversion_ibs"": 0.1179, ""4.6.multi_asset_trend"": 0.0279, ""10.4.trend_following"": -0.0771}"
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,0.22593009697593527,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.038, ""3.1.price_momentum_long_only"": 0.0109, ""3.4.low_volatility"": -0.1501, ""3.6.multifactor"": -0.0945, ""3.9.mean_reversion_single_cluster"": 0.0448, ""3.11.single_moving_average"": -0.0988, ""3.12.two_moving_averages"": -0.1601, ""3.14.support_resistance"": -0.0841, ""3.15.channel"": -0.1025, ""4.4.mean_reversion_ibs"": 0.0588, ""4.6.multi_asset_trend"": 0.0126, ""10.4.trend_following"": -0.1446}"
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,0.15711562632120832,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.0411, ""3.1.price_momentum_long_only"": 0.0314, ""3.4.low_volatility"": -0.1827, ""3.6.multifactor"": -0.3609, ""3.9.mean_reversion_single_cluster"": -0.1154, ""3.11.single_moving_average"": -0.0044, ""3.12.two_moving_averages"": -0.0815, ""3.14.support_resistance"": 0.0621, ""3.15.channel"": -0.0198, ""4.4.mean_reversion_ibs"": -0.0376, ""4.6.multi_asset_trend"": 0.0422, ""10.4.trend_following"": 0.0209}"
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,0.27820913760287214,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.0715, ""3.1.price_momentum_long_only"": 0.0488, ""3.4.low_volatility"": -0.028, ""3.6.multifactor"": -0.1393, ""3.9.mean_reversion_single_cluster"": 0.1458, ""3.11.single_moving_average"": -0.0111, ""3.12.two_moving_averages"": -0.08, ""3.14.support_resistance"": 0.0303, ""3.15.channel"": 0.0297, ""4.4.mean_reversion_ibs"": 0.1454, ""4.6.multi_asset_trend"": 0.0607, ""10.4.trend_following"": -0.2095}"
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,-0.21337907064753123,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0691, ""3.1.price_momentum_long_only"": 0.046, ""3.4.low_volatility"": 0.2131, ""3.6.multifactor"": 0.1211, ""3.9.mean_reversion_single_cluster"": 0.1253, ""3.11.single_moving_average"": 0.0769, ""3.12.two_moving_averages"": -0.0339, ""3.14.support_resistance"": 0.0394, ""3.15.channel"": 0.0627, ""4.4.mean_reversion_ibs"": 0.1089, ""4.6.multi_asset_trend"": 0.0595, ""10.4.trend_following"": 0.0441}"
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,-1.9170712173678284,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0232, ""3.1.price_momentum_long_only"": 0.0215, ""3.4.low_volatility"": 0.1895, ""3.6.multifactor"": 0.1867, ""3.9.mean_reversion_single_cluster"": 0.1065, ""3.11.single_moving_average"": 0.0691, ""3.12.two_moving_averages"": 0.0408, ""3.14.support_resistance"": 0.0478, ""3.15.channel"": 0.0824, ""4.4.mean_reversion_ibs"": -0.1724, ""4.6.multi_asset_trend"": 0.0278, ""10.4.trend_following"": 0.0322}"
