fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size,combo_weights
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,2.783609719388717,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.0752, ""3.1.price_momentum_long_only"": 0.0187, ""3.4.low_volatility"": 0.0554, ""3.6.multifactor"": 0.1061, ""3.9.mean_reversion_single_cluster"": 0.0797, ""3.11.single_moving_average"": 0.1933, ""3.12.two_moving_averages"": 0.1106, ""3.14.support_resistance"": 0.062, ""3.15.channel"": 0.1315, ""4.4.mean_reversion_ibs"": 0.0166, ""4.6.multi_asset_trend"": 0.0718, ""10.4.trend_following"": 0.0792}"
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,1.549543048109195,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0245, ""3.1.price_momentum_long_only"": 0.0305, ""3.4.low_volatility"": 0.1102, ""3.6.multifactor"": 0.1912, ""3.9.mean_reversion_single_cluster"": 0.1256, ""3.11.single_moving_average"": 0.1387, ""3.12.two_moving_averages"": 0.0234, ""3.14.support_resistance"": -0.0315, ""3.15.channel"": 0.0869, ""4.4.mean_reversion_ibs"": -0.0126, ""4.6.multi_asset_trend"": 0.095, ""10.4.trend_following"": 0.1298}"
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,2.376736403382532,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0722, ""3.1.price_momentum_long_only"": 0.0666, ""3.4.low_volatility"": -0.0372, ""3.6.multifactor"": 0.0016, ""3.9.mean_reversion_single_cluster"": -0.0722, ""3.11.single_moving_average"": 0.139, ""3.12.two_moving_averages"": -0.0241, ""3.14.support_resistance"": 0.1719, ""3.15.channel"": 0.1118, ""4.4.mean_reversion_ibs"": -0.1312, ""4.6.multi_asset_trend"": 0.1103, ""10.4.trend_following"": -0.0621}"
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,2.0570205469487948,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.0389, ""3.1.price_momentum_long_only"": 0.0336, ""3.4.low_volatility"": 0.0961, ""3.6.multifactor"": 0.1794, ""3.9.mean_reversion_single_cluster"": 0.1115, ""3.11.single_moving_average"": 0.1123, ""3.12.two_moving_averages"": 0.0098, ""3.14.support_resistance"": 0.0453, ""3.15.channel"": 0.1668, ""4.4.mean_reversion_ibs"": -0.0699, ""4.6.multi_asset_trend"": 0.0871, ""10.4.trend_following"": -0.0493}"
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,2.396339743430753,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.085, ""3.1.price_momentum_long_only"": 0.091, ""3.4.low_volatility"": 0.0689, ""3.6.multifactor"": 0.0831, ""3.9.mean_reversion_single_cluster"": 0.0454, ""3.11.single_moving_average"": 0.0976, ""3.12.two_moving_averages"": 0.0579, ""3.14.support_resistance"": 0.0921, ""3.15.channel"": 0.1393, ""4.4.mean_reversion_ibs"": 0.0114, ""4.6.multi_asset_trend"": 0.1361, ""10.4.trend_following"": 0.0922}"
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,0.23878194851474524,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0218, ""3.1.price_momentum_long_only"": -0.0015, ""3.4.low_volatility"": 0.1621, ""3.6.multifactor"": 0.1633, ""3.9.mean_reversion_single_cluster"": 0.1661, ""3.11.single_moving_average"": -0.0759, ""3.12.two_moving_averages"": -0.0127, ""3.14.support_resistance"": -0.1442, ""3.15.channel"": 0.038, ""4.4.mean_reversion_ibs"": 0.1116, ""4.6.multi_asset_trend"": -0.0085, ""10.4.trend_following"": 0.0943}"
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,1.6702293946920421,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0983, ""3.1.price_momentum_long_only"": 0.051, ""3.4.low_volatility"": 0.0496, ""3.6.multifactor"": 0.0956, ""3.9.mean_reversion_single_cluster"": 0.0424, ""3.11.single_moving_average"": 0.1421, ""3.12.two_moving_averages"": -0.0028, ""3.14.support_resistance"": -0.0188, ""3.15.channel"": 0.1631, ""4.4.mean_reversion_ibs"": 0.0778, ""4.6.multi_asset_trend"": 0.1033, ""10.4.trend_following"": 0.1554}"
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,1.6329717861454875,"{""d"": 21, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.0295, ""3.1.price_momentum_long_only"": 0.0434, ""3.4.low_volatility"": -0.0548, ""3.6.multifactor"": -0.0851, ""3.9.mean_reversion_single_cluster"": 0.1456, ""3.11.single_moving_average"": 0.0464, ""3.12.two_moving_averages"": -0.1079, ""3.14.support_resistance"": -0.1812, ""3.15.channel"": 0.0885, ""4.4.mean_reversion_ibs"": -0.1084, ""4.6.multi_asset_trend"": 0.0752, ""10.4.trend_following"": -0.0339}"
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,1.2920357882652884,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.103, ""3.1.price_momentum_long_only"": 0.0931, ""3.4.low_volatility"": -0.097, ""3.6.multifactor"": 0.0941, ""3.9.mean_reversion_single_cluster"": 0.0746, ""3.11.single_moving_average"": 0.0668, ""3.12.two_moving_averages"": -0.0839, ""3.14.support_resistance"": -0.1313, ""3.15.channel"": 0.0678, ""4.4.mean_reversion_ibs"": 0.0446, ""4.6.multi_asset_trend"": 0.143, ""10.4.trend_following"": -0.0009}"
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,0.973447036549846,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.022, ""3.1.price_momentum_long_only"": 0.0829, ""3.4.low_volatility"": -0.0583, ""3.6.multifactor"": -0.0306, ""3.9.mean_reversion_single_cluster"": -0.0055, ""3.11.single_moving_average"": -0.1, ""3.12.two_moving_averages"": -0.2011, ""3.14.support_resistance"": -0.0535, ""3.15.channel"": -0.0803, ""4.4.mean_reversion_ibs"": 0.1587, ""4.6.multi_asset_trend"": 0.1263, ""10.4.trend_following"": -0.0807}"
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,1.0833640523187287,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.1091, ""3.1.price_momentum_long_only"": 0.04, ""3.4.low_volatility"": 0.0901, ""3.6.multifactor"": 0.1769, ""3.9.mean_reversion_single_cluster"": -0.115, ""3.11.single_moving_average"": -0.0552, ""3.12.two_moving_averages"": -0.0061, ""3.14.support_resistance"": 0.069, ""3.15.channel"": -0.0572, ""4.4.mean_reversion_ibs"": -0.0466, ""4.6.multi_asset_trend"": 0.072, ""10.4.trend_following"": -0.1628}"
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,1.7459737416410925,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0478, ""3.1.price_momentum_long_only"": 0.0297, ""3.4.low_volatility"": 0.1228, ""3.6.multifactor"": 0.2114, ""3.9.mean_reversion_single_cluster"": 0.0343, ""3.11.single_moving_average"": 0.0353, ""3.12.two_moving_averages"": -0.0516, ""3.14.support_resistance"": 0.0547, ""3.15.channel"": 0.0091, ""4.4.mean_reversion_ibs"": -0.1569, ""4.6.multi_asset_trend"": 0.0753, ""10.4.trend_following"": -0.1711}"
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,0.4414542781014888,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0486, ""3.1.price_momentum_long_only"": -0.005, ""3.4.low_volatility"": 0.0341, ""3.6.multifactor"": 0.0272, ""3.9.mean_reversion_single_cluster"": 0.0375, ""3.11.single_moving_average"": -0.1072, ""3.12.two_moving_averages"": -0.1144, ""3.14.support_resistance"": -0.0059, ""3.15.channel"": -0.0978, ""4.4.mean_reversion_ibs"": -0.4211, ""4.6.multi_asset_trend"": -0.0356, ""10.4.trend_following"": -0.0658}"
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,0.009936050291637797,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.1706, ""3.1.price_momentum_long_only"": -0.0128, ""3.4.low_volatility"": -0.0397, ""3.6.multifactor"": -0.09, ""3.9.mean_reversion_single_cluster"": 0.0164, ""3.11.single_moving_average"": -0.1606, ""3.12.two_moving_averages"": -0.1521, ""3.14.support_resistance"": 0.0469, ""3.15.channel"": -0.0699, ""4.4.mean_reversion_ibs"": -0.1424, ""4.6.multi_asset_trend"": -0.082, ""10.4.trend_following"": -0.0166}"
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,0.4037376409773843,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0365, ""3.1.price_momentum_long_only"": -0.0961, ""3.4.low_volatility"": 0.0977, ""3.6.multifactor"": 0.0476, ""3.9.mean_reversion_single_cluster"": 0.0433, ""3.11.single_moving_average"": -0.1017, ""3.12.two_moving_averages"": -0.1241, ""3.14.support_resistance"": 0.0648, ""3.15.channel"": -0.0626, ""4.4.mean_reversion_ibs"": -0.0273, ""4.6.multi_asset_trend"": -0.2042, ""10.4.trend_following"": -0.094}"
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,0.9336432796280525,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.0488, ""3.1.price_momentum_long_only"": -0.0587, ""3.4.low_volatility"": 0.1099, ""3.6.multifactor"": 0.0088, ""3.9.mean_reversion_single_cluster"": -0.0474, ""3.11.single_moving_average"": -0.2277, ""3.12.two_moving_averages"": -0.0463, ""3.14.support_resistance"": 0.0257, ""3.15.channel"": -0.0429, ""4.4.mean_reversion_ibs"": 0.0193, ""4.6.multi_asset_trend"": -0.2651, ""10.4.trend_following"": -0.0994}"
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,1.2306236003750537,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0002, ""3.1.price_momentum_long_only"": -0.0329, ""3.4.low_volatility"": 0.0601, ""3.6.multifactor"": -0.0587, ""3.9.mean_reversion_single_cluster"": 0.0964, ""3.11.single_moving_average"": -0.2354, ""3.12.two_moving_averages"": 0.0598, ""3.14.support_resistance"": -0.0028, ""3.15.channel"": 0.0106, ""4.4.mean_reversion_ibs"": -0.0939, ""4.6.multi_asset_trend"": -0.1627, ""10.4.trend_following"": -0.1865}"
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,0.26170903668726564,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0459, ""3.1.price_momentum_long_only"": 0.049, ""3.4.low_volatility"": -0.0329, ""3.6.multifactor"": -0.1376, ""3.9.mean_reversion_single_cluster"": 0.0453, ""3.11.single_moving_average"": -0.2, ""3.12.two_moving_averages"": 0.1584, ""3.14.support_resistance"": -0.0744, ""3.15.channel"": 0.1016, ""4.4.mean_reversion_ibs"": -0.0585, ""4.6.multi_asset_trend"": -0.0206, ""10.4.trend_following"": -0.0759}"
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,-0.2865676234413024,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.1476, ""3.1.price_momentum_long_only"": 0.0773, ""3.4.low_volatility"": 0.0777, ""3.6.multifactor"": 0.0942, ""3.9.mean_reversion_single_cluster"": 0.003, ""3.11.single_moving_average"": 0.0557, ""3.12.two_moving_averages"": 0.1619, ""3.14.support_resistance"": -0.0121, ""3.15.channel"": 0.1234, ""4.4.mean_reversion_ibs"": -0.0777, ""4.6.multi_asset_trend"": 0.1065, ""10.4.trend_following"": 0.063}"
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,0.550767964945013,"{""d"": 21, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.1404, ""3.1.price_momentum_long_only"": 0.0127, ""3.4.low_volatility"": 0.1265, ""3.6.multifactor"": 0.2058, ""3.9.mean_reversion_single_cluster"": -0.1377, ""3.11.single_moving_average"": 0.0483, ""3.12.two_moving_averages"": 0.0251, ""3.14.support_resistance"": 0.1208, ""3.15.channel"": -0.0275, ""4.4.mean_reversion_ibs"": 0.0158, ""4.6.multi_asset_trend"": 0.05, ""10.4.trend_following"": 0.0895}"
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,-0.10806067172314218,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.1503, ""3.1.price_momentum_long_only"": 0.0455, ""3.4.low_volatility"": 0.1061, ""3.6.multifactor"": 0.1634, ""3.9.mean_reversion_single_cluster"": -0.0592, ""3.11.single_moving_average"": 0.1018, ""3.12.two_moving_averages"": 0.0861, ""3.14.support_resistance"": 0.0692, ""3.15.channel"": 0.029, ""4.4.mean_reversion_ibs"": 0.0844, ""4.6.multi_asset_trend"": 0.0771, ""10.4.trend_following"": 0.0279}"
41,2018-08-09,2019-08-09,2019-08-12,2019-09-10,252,21,0.9802577074691537,"{""d"": 21, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.0053, ""3.1.price_momentum_long_only"": -0.0714, ""3.4.low_volatility"": -0.0205, ""3.6.multifactor"": -0.0052, ""3.9.mean_reversion_single_cluster"": -0.0362, ""3.11.single_moving_average"": -0.1212, ""3.12.two_moving_averages"": -0.1078, ""3.14.support_resistance"": 0.092, ""3.15.channel"": -0.157, ""4.4.mean_reversion_ibs"": -0.2236, ""4.6.multi_asset_trend"": -0.1028, ""10.4.trend_following"": -0.057}"
42,2018-09-10,2019-09-10,2019-09-11,2019-10-09,252,21,-0.493500199058681,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.2393, ""3.1.price_momentum_long_only"": -0.0065, ""3.4.low_volatility"": -0.0809, ""3.6.multifactor"": -0.1841, ""3.9.mean_reversion_single_cluster"": 0.0346, ""3.11.single_moving_average"": 0.0346, ""3.12.two_moving_averages"": 0.0439, ""3.14.support_resistance"": -0.1463, ""3.15.channel"": -0.139, ""4.4.mean_reversion_ibs"": -0.0121, ""4.6.multi_asset_trend"": 0.0727, ""10.4.trend_following"": -0.006}"
43,2018-10-09,2019-10-09,2019-10-10,2019-11-07,252,21,0.16558460968637034,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.1412, ""3.1.price_momentum_long_only"": -0.0555, ""3.4.low_volatility"": -0.0769, ""3.6.multifactor"": -0.2046, ""3.9.mean_reversion_single_cluster"": 0.0532, ""3.11.single_moving_average"": 0.0017, ""3.12.two_moving_averages"": -0.0575, ""3.14.support_resistance"": -0.0639, ""3.15.channel"": -0.1778, ""4.4.mean_reversion_ibs"": -0.1194, ""4.6.multi_asset_trend"": 0.0116, ""10.4.trend_following"": -0.0367}"
